img_genome_id,genome_name,phylum,class,pf03007_count,sequencing_status,genome_size_bp,gene_count,study_name,sequencing_center
641522641,Mycobacteroides abscessus ATCC 19977,Actinomycetota,Actinomycetes,6,Finished,5090491,4991,Mycobacterium abscessus ATCC 19977,CEA Genoscope
641522642,"Mycobacterium marinum M, ATCC BAA-535",Actinomycetota,Actinomycetes,23,Finished,6660144,5501,"Mycobacterium marinum M, ATCC BAA-535","Institut Pasteur, Wellcome Trust Sanger Institute"
641522653,Streptomyces griseus griseus NBRC 13350,Actinomycetota,Actinomycetes,1,Finished,8545929,7222,Streptomyces griseus griseus NBRC 13350,University of Tokyo
641736194,Mycobacterium tuberculosis Haarlem,Actinomycetota,Actinomycetes,11,Finished,4347292,4376,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
641736240,Mycobacterium tuberculosis H37Ra,Actinomycetota,Actinomycetes,13,Permanent Draft,4326442,4489,Mycobacterium tuberculosis H37Ra,Beijing Genomics Institute (BGI)
642555105,Alteromonas mediterranea DE,Pseudomonadota,Gammaproteobacteria,1,Finished,4412282,4128,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",J. Craig Venter Institute
642555106,Anaeromyxobacter sp. K,Myxococcota,Myxococcia,1,Finished,5061632,4551,Multiple Anaeromyxobacter,DOE Joint Genome Institute  (JGI)
642555140,Mycobacterium ulcerans Agy99,Actinomycetota,Actinomycetes,12,Finished,5805761,4306,Mycobacterium ulcerans Agy99,Institut Pasteur
643348502,Acinetobacter baumannii AB0057,Pseudomonadota,Gammaproteobacteria,1,Finished,4059242,3892,Acinetobacter baumannii AB0057,Case Western Reserve University
643348507,Anaeromyxobacter dehalogenans 2CP-1,Myxococcota,Myxococcia,1,Finished,5029329,4540,Multiple Anaeromyxobacter,DOE Joint Genome Institute  (JGI)
643348566,Mycobacterium leprae Br4923,Actinomycetota,Actinomycetes,1,Finished,3268071,1654,Mycobacterium leprae Br4923,Institut Pasteur
643692033,Rhodococcus erythropolis PR4,Actinomycetota,Actinomycetes,9,Finished,6895538,6505,Rhodococcus erythropolis PR4,National Institute of Technology and Evaluation
643886201,Rhodococcus erythropolis SK121,Actinomycetota,Actinomycetes,8,Permanent Draft,6785398,6767,Human Microbiome Project (HMP) Reference Genomes,J. Craig Venter Institute
643886214,Acinetobacter sp. ATCC 27244,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3330366,3392,Human Microbiome Project (HMP) Reference Genomes,Baylor College of Medicine
644736323,Actinosynnema mirum DSM 43827,Actinomycetota,Actinomycetes,1,Permanent Draft,8248144,7176,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
644736333,Candidatus Accumulibacter regalis UW-1,Pseudomonadota,Betaproteobacteria,3,Finished,5306133,4790,Candidatus Accumulibacter regalis UW-1,DOE Joint Genome Institute  (JGI)
644736391,Mycobacterium tuberculosis KZN 1435 (MDR),Actinomycetota,Actinomycetes,14,Finished,4398250,4107,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
644736393,"Nakamurella multipartita Y-104, DSM 44233",Actinomycetota,Actinomycetes,3,Finished,6060298,5471,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
644736404,"Saccharomonospora viridis P101, DSM 43017",Actinomycetota,Actinomycetes,3,Finished,4308349,3962,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
644736413,Variovorax paradoxus S110,Pseudomonadota,Betaproteobacteria,1,Finished,6754997,6450,"CSP_788249, Variovorax Paradoxus Strains",DOE Joint Genome Institute  (JGI)
645058721,Mycobacterium tuberculosis 98-R604 INH-RIF-EM,Actinomycetota,Actinomycetes,13,Permanent Draft,4286999,4159,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
645058725,Mycobacterium avium avium ATCC 25291,Actinomycetota,Actinomycetes,10,Permanent Draft,4857995,4684,Mycobacterium avium avium ATCC 25291,"McGill University, University of Minnesota"
645058728,Streptomyces griseoflavus Tu4000,Actinomycetota,Actinomycetes,1,Permanent Draft,7364052,7207,Streptomyces griseoflavus Tu4000,Broad Institute
645058739,Mycobacterium intracellulare ATCC 13950,Actinomycetota,Actinomycetes,12,Permanent Draft,5328562,5282,Mycobacterium intracellulare ATCC 13950,McGill University
645058757,Acinetobacter baumannii AB900,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3910877,3783,Acinetobacter baumannii AB900,State University of New York
645058758,Acinetobacter radioresistens SK82,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3283705,3251,Human Microbiome Project (HMP) Reference Genomes,J. Craig Venter Institute
645058822,Streptomyces filamentosus NRRL 15998,Actinomycetota,Actinomycetes,1,Permanent Draft,7560086,6986,Streptomyces roseosporus NRRL 15998,Broad Institute
645058824,Streptomyces ghanaensis ATCC 14672,Actinomycetota,Actinomycetes,2,Permanent Draft,8223278,7840,Streptomyces ghanaensis ATCC 14672,Broad Institute
645058855,Streptomyces viridochromogenes DSM 40736,Actinomycetota,Actinomycetes,1,Permanent Draft,8548109,7831,Streptomyces viridochromogenes DSM 40736,Broad Institute
645058856,Streptomyces lividans TK24,Actinomycetota,Actinomycetes,2,Permanent Draft,8190887,7636,Streptomyces lividans TK24,Broad Institute
645058861,Mycobacterium tuberculosis KZN 605 (XDR),Actinomycetota,Actinomycetes,14,Finished,4237019,4019,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
645951800,Streptomyces sp. AA4,Actinomycetota,Actinomycetes,5,Permanent Draft,9152172,8642,Streptomyces sp. AA4,Broad Institute
645951810,Enhydrobacter aerosaccus SK60,Pseudomonadota,Alphaproteobacteria,1,Finished,2702626,2618,Human Microbiome Project (HMP) Reference Genomes,J. Craig Venter Institute
645951844,Aeromicrobium marinum DSM 15272,Actinomycetota,Actinomycetes,4,Permanent Draft,2585197,3625,Human Microbiome Project (HMP) Reference Genomes,Baylor College of Medicine
645951849,Streptomyces sp. SPB78,Actinomycetota,Actinomycetes,1,Permanent Draft,6897976,6544,Streptomyces sp. SPB78,Broad Institute
646206267,Acinetobacter calcoaceticus RUH2202,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3881790,3632,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
646206268,Acinetobacter johnsonii SH046,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3690010,3434,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
646206269,Acinetobacter junii SH205,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3463059,3252,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
646206270,Acinetobacter lwoffii SH145,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3481004,3202,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
646206271,Acinetobacter radioresistens SH164,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3158014,2938,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
646311917,"Conexibacter woesei ID131577, DSM 14684",Actinomycetota,Thermoleophilia,3,Finished,6359369,6001,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311931,"Geodermatophilus obscurus G-20, DSM 43160",Actinomycetota,Actinomycetes,2,Finished,5322497,5155,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311932,"Gordonia bronchialis 3410, DSM 43247",Actinomycetota,Actinomycetes,5,Finished,5290012,5002,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311938,"Kribbella flavida IFO 14399, DSM 17836",Actinomycetota,Actinomycetes,2,Finished,7579488,7149,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311958,"Streptosporangium roseum NI 9100, DSM 43021",Actinomycetota,Actinomycetes,2,Finished,10369518,9510,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311963,Thermomonospora curvata DSM 43183,Actinomycetota,Actinomycetes,2,Finished,5639016,5061,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646311968,"Xylanimonas cellulosilytica XIL07, DSM 15894",Actinomycetota,Actinomycetes,1,Finished,3831380,3549,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646564552,Moraxella catarrhalis BBH18,Pseudomonadota,Gammaproteobacteria,1,Finished,1863286,1948,Moraxella catarrhalis BBH18,Radboud University Nijmegen
646564564,Rhodococcus opacus B4,Actinomycetota,Actinomycetes,9,Finished,8834939,8259,Rhodococcus opacus B4,National Institute of Technology and Evaluation
646564571,"Stackebrandtia nassauensis LLR-40K-21, DSM 44728",Actinomycetota,Actinomycetes,1,Finished,6841557,6541,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646564576,Streptomyces scabiei 87.22,Actinomycetota,Actinomycetes,1,Finished,10148695,8841,Streptomyces scabiei 87.22,Wellcome Trust Sanger Institute
646564581,"Thermobispora bispora R51, DSM 43833",Actinomycetota,Actinomycetes,1,Finished,4189976,3661,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646564587,"Tsukamurella paurometabola 33, DSM 20162",Actinomycetota,Actinomycetes,4,Finished,4479724,4391,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
646862346,Streptomyces bingchenggensis BCW-1,Actinomycetota,Actinomycetes,1,Finished,11936683,10106,Streptomyces bingchenggensis BCW-1,Beijing Genomics Institute (BGI)
647000202,Acinetobacter haemolyticus ATCC 19194,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3372344,3560,Human Microbiome Project (HMP) Reference Genomes,Baylor College of Medicine
647000204,Acinetobacter baumannii 6013150,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,4006788,3949,Human Microbiome Project (HMP) Reference Genomes,Washington University in St. Louis
647000278,Mycobacterium parascrofulaceum ATCC BAA-614,Actinomycetota,Actinomycetes,16,Permanent Draft,6295508,6510,Human Microbiome Project (HMP) Reference Genomes,Baylor College of Medicine
647000279,Mycobacterium tuberculosis 210,Actinomycetota,Actinomycetes,13,Permanent Draft,4395332,4182,Mycobacterium tuberculosis 210,J. Craig Venter Institute
647000280,Mycobacterium tuberculosis KZN 4207,Actinomycetota,Actinomycetes,14,Permanent Draft,4383975,4192,Mycobacterium tuberculosis KZN 4207,Texas A&M University
647000281,Mycobacterium tuberculosis KZN V2475,Actinomycetota,Actinomycetes,14,Permanent Draft,4356301,4211,Mycobacterium tuberculosis KZN V2475,Texas A&M University
647000291,Photobacterium damselae damselae CIP 102761,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,5046328,3751,Photobacterium damselae damselae CIP 102761,Los Alamos National Laboratory
647000305,Prescottella equi ATCC 33707,Actinomycetota,Actinomycetes,8,Permanent Draft,5229298,5116,Human Microbiome Project (HMP) Reference Genomes,Baylor College of Medicine
647000310,Saccharopolyspora erythraea NRRL 2338,Actinomycetota,Actinomycetes,2,Permanent Draft,8079083,7356,Saccharopolyspora erythraea NRRL 2338,"Istituto Tecnologie Biomediche -National Research Council, MWG-Biotech, National Research Council - CNR, Biomedical Technology Institute, Italy, Segrate"
647000328,Streptomyces sp. ACT-1 XylebKG-1,Actinomycetota,Actinomycetes,1,Permanent Draft,8566464,7450,Leaf Cutter and Ant Microbe Symbiosis,DOE Joint Genome Institute  (JGI)
647533108,Acinetobacter pittii SH024,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3970841,3703,Human Microbiome Project (HMP) Reference Genomes,Broad Institute
647533109,Alcanivorax sp. DG881,Pseudomonadota,Gammaproteobacteria,2,Permanent Draft,3804728,3384,Alcanivorax sp. DG881,J. Craig Venter Institute
647533235,Streptomyces sp. e14,Actinomycetota,Actinomycetes,1,Permanent Draft,7928946,6270,Streptomyces sp. e14,Broad Institute
647533249,Gamma proteobacterium sp. NOR5-3,Pseudomonadota,Gammaproteobacteria,3,Permanent Draft,4208084,3726,Gamma proteobacterium sp. NOR5-3,J. Craig Venter Institute
647533250,Luminiphilus syltensis NOR5-1B,Pseudomonadota,Gammaproteobacteria,2,Permanent Draft,3261541,2972,Luminiphilus syltensis NOR5-1B,J. Craig Venter Institute
647533251,Marine gamma proteobacterium sp. HTCC2148,Pseudomonadota,Gammaproteobacteria,4,Permanent Draft,4326936,3871,Marine gamma proteobacterium sp. HTCC2148,J. Craig Venter Institute
648028004,Acinetobacter oleivorans DR1,Pseudomonadota,Gammaproteobacteria,1,Finished,4152543,3963,Acinetobacter sp. DR1,Association Nationale Recherche Technologie
648028006,Amycolatopsis mediterranei U32,Actinomycetota,Actinomycetes,4,Finished,10236715,9292,Amycolatopsis mediterranei U32,Chinese National Human Genome Center at Shanghai
648028026,"Ferrimonas balearica PAT, DSM 9799",Pseudomonadota,Gammaproteobacteria,1,Finished,4279159,3947,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
648276604,Acinetobacter baumannii AB056,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3844254,4106,Acinetobacter baumannii AB056,Case Western Reserve University
648276617,Ahrensia sp. R2A130,Pseudomonadota,Alphaproteobacteria,1,Permanent Draft,3731054,3673,Ahrensia sp. R2A130,J. Craig Venter Institute
648276692,Mycobacterium tuberculosis KZN R506,Actinomycetota,Actinomycetes,14,Permanent Draft,4367618,4219,Mycobacterium tuberculosis KZN R506,Texas A&M University
648276693,Mycobacterium tuberculosis SUMu001,Actinomycetota,Actinomycetes,12,Permanent Draft,4356118,3942,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276694,Mycobacterium tuberculosis SUMu002,Actinomycetota,Actinomycetes,13,Permanent Draft,4321025,4250,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276695,Mycobacterium tuberculosis SUMu003,Actinomycetota,Actinomycetes,13,Permanent Draft,4345124,4290,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276696,Mycobacterium tuberculosis SUMu004,Actinomycetota,Actinomycetes,13,Permanent Draft,4338184,4283,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276697,Mycobacterium tuberculosis SUMu005,Actinomycetota,Actinomycetes,13,Permanent Draft,4331659,4258,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276698,Mycobacterium tuberculosis SUMu006,Actinomycetota,Actinomycetes,13,Permanent Draft,4328768,4241,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276699,Mycobacterium tuberculosis SUMu007,Actinomycetota,Actinomycetes,13,Permanent Draft,4321517,4232,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276700,Mycobacterium tuberculosis SUMu008,Actinomycetota,Actinomycetes,14,Permanent Draft,4327514,4261,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276701,Mycobacterium tuberculosis SUMu009,Actinomycetota,Actinomycetes,13,Permanent Draft,4320544,4248,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276702,Mycobacterium tuberculosis SUMu010,Actinomycetota,Actinomycetes,14,Permanent Draft,4352987,4280,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276703,Mycobacterium tuberculosis SUMu011,Actinomycetota,Actinomycetes,14,Permanent Draft,4340737,4267,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276704,Mycobacterium tuberculosis SUMu012,Actinomycetota,Actinomycetes,14,Permanent Draft,4325814,4322,Mycobacterium tuberculosis SUMu strains- Broad Institute,Broad Institute
648276750,Streptomyces violaceusniger Tu 4113,Actinomycetota,Actinomycetes,1,Finished,10988130,9557,Streptomyces violaceusniger Tu 4133,DOE Joint Genome Institute  (JGI)
648861016,Streptomyces pristinaespiralis ATCC 25486,Actinomycetota,Actinomycetes,1,Permanent Draft,8133379,6937,Streptomyces pristinaespiralis ATCC 25486,Broad Institute
649633045,Frankia inefficax EuI1c,Actinomycetota,Actinomycetes,2,Finished,8815781,7262,"CSP_787505, Five Frankia Strains",DOE Joint Genome Institute  (JGI)
649633057,"Intrasporangium calvum 7KIP, DSM 43043",Actinomycetota,Actinomycetes,1,Finished,4024382,3710,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute  (JGI)
649633070,Mycolicibacterium gilvum Spyr1,Actinomycetota,Actinomycetes,9,Finished,5783292,5434,"PAH degrading bacteria from Epirus, Greece",DOE Joint Genome Institute  (JGI)
649633089,Prescottella equi 103S,Actinomycetota,Actinomycetes,8,Finished,5043170,4570,Rhodococcus equi 103S,Wellcome Trust Sanger Institute
649633090,Rhodomicrobium vannielii ATCC 17100,Pseudomonadota,Alphaproteobacteria,1,Finished,4014469,3739,"CSP_787681, Stalked bacteria",DOE Joint Genome Institute  (JGI)
649633096,Stigmatella aurantiaca DW4/3-1,Myxococcota,Myxococcia,1,Finished,10260756,8407,Stigmatella aurantiaca DW4/3-1,Max Planck Institute
649633106,Variovorax paradoxus EPS,Pseudomonadota,Betaproteobacteria,1,Finished,6550056,6086,"CSP_788249, Variovorax Paradoxus Strains",DOE Joint Genome Institute  (JGI)
649989929,Dietzia cinnamea P4,Actinomycetota,Actinomycetes,4,Permanent Draft,3555295,3593,Dietzia cinnamea P4,Federal University of Rio de Janeiro
